Unique user count;Component set;Product;Version
1;Component1+Component9+Component11+Component14+Component21+Component23+Component24+Component29+Component30+Component31;-1753079652;11.3.0.773
1;Component1+Component5+Component9+Component11+Component14+Component15+Component21+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component11+Component21+Component24+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component22+Component23+Component25+Component26+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component5+Component9+Component11+Component14+Component21+Component24+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component11+Component12+Component14+Component15+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component25+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component9+Component12+Component14+Component19+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component15+Component19+Component21+Component25+Component29+Component30+Component31;2049294527;11.4.0.233
1;Component1+Component5+Component11+Component14+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component11+Component12+Component14+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component15+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component19+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component9+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component9+Component14+Component15+Component19+Component21+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component5+Component14+Component21+Component28+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1747671608;11.4.0.233
1;Component1+Component14+Component24+Component28+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component15+Component19+Component21+Component23+Component28+Component29+Component30+Component31;-1753079652;21.2.16.590
1;Component1+Component12+Component14+Component21+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component15+Component21+Component28+Component29+Component30+Component31;-1753079652;11.3.0.773
1;Component1+Component5+Component9+Component11+Component14+Component15+Component21+Component24+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component9+Component14+Component21+Component28+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component9+Component14+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component5+Component11+Component14+Component21+Component23+Component24+Component25+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component11+Component14+Component21+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component3+Component9+Component11+Component12+Component14+Component15+Component18+Component19+Component21+Component22+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component9+Component11+Component14+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component14+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component9+Component12+Component15+Component21+Component23+Component28+Component29+Component30+Component31;-1753079652;11.3.0.773
1;Component1+Component9+Component11+Component21+Component24+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component12+Component14+Component19+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component9+Component11+Component12+Component14+Component21+Component23+Component29+Component30+Component31;-1753079652;11.3.0.773
1;Component1+Component5+Component9+Component12+Component14+Component15+Component21+Component23+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component12+Component14+Component21+Component24+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1747671608;11.4.0.233
1;Component1+Component9+Component21+Component29+Component30+Component31;-1753079652;21.2.16.590
1;Component1+Component5+Component9+Component11+Component15+Component21+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component11+Component15+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component5+Component14+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component11+Component12+Component14+Component15+Component23+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component12+Component14+Component15+Component18+Component19+Component21+Component23+Component24+Component26+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component5+Component11+Component14+Component21+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component5+Component28+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component9+Component12+Component14+Component21+Component23+Component28+Component29+Component30+Component31;-1753079652;11.3.0.773
1;Component5+Component11+Component12+Component14+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component12+Component15+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component24+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component12+Component14+Component21+Component24+Component25+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component5+Component9+Component11+Component14+Component15+Component19+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component9+Component14+Component15+Component21+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component28+Component29+Component30+Component31;2049294527;11.4.0.233
1;Component1+Component5+Component9+Component11+Component14+Component15+Component19+Component21+Component23+Component24+Component25+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component9+Component11+Component14+Component15+Component19+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component12+Component14+Component15+Component21+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component14+Component15+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component14+Component24+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component24+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component5+Component9+Component11+Component14+Component18+Component21+Component23+Component24+Component25+Component26+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component9+Component11+Component14+Component15+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component14+Component19+Component21+Component28+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component11+Component12+Component14+Component15+Component21+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component11+Component12+Component14+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component14+Component19+Component21+Component28+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component5+Component9+Component11+Component14+Component19+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component15+Component21+Component23+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component21+Component23+Component30+Component31;-1753079652;21.2.16.590
1;Component1+Component9+Component11+Component12+Component14+Component19+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component15+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component12+Component14+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component9+Component12+Component14+Component15+Component18+Component19+Component21+Component23+Component24+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component5+Component9+Component11+Component14+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component12+Component21+Component28+Component29+Component30+Component31;-1753079652;11.3.0.773
1;Component1+Component9+Component11+Component14+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component5+Component9+Component11+Component12+Component14+Component21+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component29+Component30+Component31;-1753079652;11.3.0.773
1;Component1+Component9+Component11+Component14+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component5+Component9+Component11+Component12+Component14+Component19+Component21+Component23+Component29+Component30+Component31;-1753079652;21.2.16.590
1;Component1+Component5+Component9+Component11+Component14+Component15+Component21+Component22+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component11+Component28+Component29+Component30+Component31;2049294527;11.4.0.233
1;Component1+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component28+Component29+Component30+Component31;-1753079652;11.3.0.773
1;Component1+Component9+Component11+Component12+Component14+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component9+Component14+Component15+Component19+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component15+Component28+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component14+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component14+Component15+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component9+Component11+Component14+Component15+Component19+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component11+Component12+Component14+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component11+Component14+Component19+Component28+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component15+Component16+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component9+Component11+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component5+Component9+Component11+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component29+Component30+Component31;-1753079652;11.3.0.773
1;Component1+Component9+Component11+Component14+Component21+Component25+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component29+Component30+Component31;2049294527;11.4.0.233
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1747671608;11.3.0.773
1;Component1+Component11+Component12+Component14+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component11+Component15+Component21+Component25+Component28+Component29+Component30+Component31;2049294527;11.4.0.233
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component16+Component18+Component21+Component23+Component25+Component26+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component11+Component12+Component14+Component15+Component23+Component28+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component14+Component15+Component19+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component12+Component14+Component24+Component28+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component28+Component29+Component30+Component31;2049294527;11.4.0.233
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component28+Component29+Component30+Component31;-1753079652;11.3.0.773
1;Component1+Component3+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component24+Component25+Component26+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component9+Component12+Component14+Component15+Component21+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component23+Component24+Component25+Component26+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component9+Component11+Component12+Component14+Component21+Component23+Component24+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component14+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component5+Component11+Component21+Component29+Component31;2049294527;11.3.0.773
1;Component1+Component9+Component11+Component15+Component21+Component24+Component28+Component29+Component30+Component31;-1753079652;21.2.16.590
1;Component1+Component5+Component11+Component19+Component21+Component28+Component30+Component31;2049294527;11.4.0.233
1;Component1+Component12+Component15+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component14+Component15+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component19+Component21+Component24+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component12+Component14+Component21+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component12+Component15+Component19+Component21+Component23+Component24+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component9+Component11+Component14+Component15+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component5+Component9+Component11+Component14+Component21+Component28+Component29+Component30+Component31;-1753079652;11.3.0.773
1;Component1+Component9+Component11+Component12+Component14+Component15+Component18+Component19+Component21+Component23+Component24+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component11+Component14+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1747671608;21.2.16.590
1;Component1+Component9+Component11+Component14+Component15+Component21+Component24+Component28+Component29+Component30+Component31;-1753079652;21.2.16.590
1;Component12+Component14+Component15+Component19+Component21+Component23+Component28+Component30+Component31;-1753079652;11.4.0.233
1;Component14+Component30+Component31;-1753079652;11.3.0.773
1;Component1+Component5+Component9+Component11+Component15+Component19+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component12+Component14+Component19+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component15+Component19+Component21+Component23+Component29+Component30+Component31;-1753079652;11.3.0.773
1;Component1+Component11+Component15+Component19+Component21+Component28+Component29+Component30+Component31;2049294527;11.3.0.773
1;Component1+Component5+Component9+Component11+Component15+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component28+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component5+Component11+Component12+Component14+Component15+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component5+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component9+Component11+Component12+Component14+Component21+Component29+Component30+Component31;-1753079652;21.2.16.590
1;Component18+Component25+Component26+Component30+Component31;-1753079652;11.4.0.233
1;Component14+Component23+Component28+Component30+Component31;-1753079652;11.3.0.773
1;Component1+Component9+Component12+Component14+Component19+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component12+Component14+Component23+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component9+Component12+Component14+Component21+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component9+Component11+Component14+Component19+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component5+Component12+Component14+Component15+Component23+Component28+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component11+Component15+Component30+Component31;2049294527;11.3.0.773
1;Component1+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component3+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31;-1753079652;21.2.16.590
1;Component1+Component21+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component5+Component9+Component11+Component12+Component14+Component21+Component24+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component9+Component11+Component21+Component29+Component30+Component31;-1753079652;11.3.0.773
1;Component1+Component12+Component14+Component23+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component14+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component24+Component28+Component29+Component30+Component31;-1753079652;21.2.16.590
1;Component1+Component9+Component12+Component14+Component15+Component18+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component12+Component14+Component21+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component12+Component14+Component15+Component19+Component21+Component24+Component29+Component30+Component31;-1753079652;11.3.0.773
1;Component1+Component3+Component5+Component9+Component11+Component12+Component13+Component14+Component15+Component18+Component19+Component21+Component22+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component9+Component11+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component28+Component29+Component30+Component31;-1753079652;21.2.16.590
1;Component1+Component3+Component5+Component9+Component11+Component12+Component14+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component9+Component15+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component3+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component19+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component11+Component12+Component14+Component21+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component5+Component9+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component19+Component21+Component23+Component24+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component9+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component28+Component30+Component31;2049294527;11.4.0.233
1;Component1+Component5+Component9+Component11+Component12+Component14+Component19+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component5+Component30+Component31;2049294527;11.3.0.773
1;Component12+Component14+Component30+Component31;-1753079652;11.3.0.773
1;Component1+Component9+Component11+Component15+Component19+Component21+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component21+Component30+Component31;2049294527;11.4.0.233
1;Component1+Component9+Component12+Component14+Component15+Component21+Component23+Component24+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component14+Component15+Component21+Component23+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component16+Component21+Component23+Component24+Component25+Component26+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component5+Component9+Component11+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component11+Component12+Component14+Component15+Component23+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component15+Component19+Component21+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component23+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component9+Component12+Component14+Component19+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component5+Component11+Component15+Component28+Component30+Component31;-1753079652;11.3.0.773
1;Component1+Component21+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component11+Component12+Component14+Component15+Component21+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component9+Component12+Component14+Component15+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component11+Component12+Component14+Component15+Component23+Component24+Component28+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component11+Component12+Component14+Component19+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component9+Component14+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component5+Component9+Component11+Component12+Component14+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component5+Component11+Component12+Component14+Component15+Component23+Component24+Component28+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component9+Component11+Component12+Component15+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component14+Component15+Component19+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component15+Component19+Component21+Component28+Component29+Component30+Component31;2049294527;11.4.0.233
1;Component1+Component9+Component11+Component14+Component16+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component23+Component24+Component26+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component9+Component11+Component14+Component21+Component23+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component11+Component12+Component14+Component15+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component9+Component14+Component15+Component21+Component23+Component24+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component5+Component11+Component14+Component21+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component14+Component15+Component21+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component5+Component15+Component21+Component29+Component30+Component31;2049294527;11.4.0.233
1;Component1+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component23+Component25+Component26+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component5+Component9+Component11+Component12+Component14+Component21+Component23+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component5+Component11+Component15+Component19+Component21+Component25+Component29+Component30+Component31;2049294527;11.4.0.0
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component28+Component29+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component14+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component5+Component9+Component11+Component12+Component14+Component19+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component11+Component21+Component24+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component5+Component11+Component12+Component14+Component15+Component21+Component23+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component12+Component14+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component5+Component9+Component11+Component12+Component14+Component21+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component5+Component11+Component14+Component28+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component11+Component15+Component16+Component19+Component21+Component25+Component29+Component30+Component31;2049294527;11.3.0.773
1;Component1+Component9+Component11+Component12+Component14+Component19+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component1+Component9+Component14+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component14+Component19+Component21+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component9+Component14+Component21+Component28+Component30+Component31;-1753079652;11.3.0.773
1;Component1+Component5+Component12+Component14+Component23+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component5+Component11+Component21+Component23+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component5+Component11+Component14+Component21+Component30+Component31;-1753079652;21.2.16.590
1;Component9+Component14+Component23+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component12+Component14+Component15+Component23+Component24+Component28+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1747671608;11.3.0.773
1;Component1+Component9+Component12+Component14+Component15+Component21+Component23+Component29+Component30+Component31;-1753079652;21.2.16.590
1;Component1+Component11+Component14+Component15+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component5+Component11+Component14+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
1;Component1+Component5+Component11+Component14+Component15+Component19+Component21+Component23+Component25+Component26+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component9+Component11+Component12+Component14+Component15+Component19+Component23+Component29+Component30+Component31;-1753079652;11.4.0.233
1;Component1+Component3+Component9+Component11+Component12+Component14+Component15+Component21+Component22+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
1;Component14+Component23+Component30+Component31+Component32;-1753079652;11.4.0.233
1;Component1+Component5+Component9+Component11+Component14+Component19+Component21+Component23+Component24+Component29+Component30+Component31;-1753079652;11.3.0.773
1;Component11+Component28+Component30+Component31;2049294527;21.2.16.590
